article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
William Carlos Williams,50918,2.157329332461209e-06,https://en.wikipedia.org/wiki/William_Carlos_Williams,1883,1963,https://commons.wikimedia.org/wiki/Special:FilePath/William Carlos Williams passport photograph 1921.jpg,American poet,"['poet', 'physician', 'autobiographer', 'physician writer', 'literary critic', 'writer']","['poetry', 'literary activity']",40,-74.5
Shunzhi Emperor,263101,2.157088837128326e-06,https://en.wikipedia.org/wiki/Shunzhi_Emperor,1638,1661,https://commons.wikimedia.org/wiki/Special:FilePath/清 佚名 《清世祖顺治皇帝朝服像》.jpg,Qing Dynasty emperor of China (1638-1661),"['monarch', 'painter']",[],39.91835,116.3894
Leslie Groves,60540,2.156280149757409e-06,https://en.wikipedia.org/wiki/Leslie_Groves,1896,1970,https://commons.wikimedia.org/wiki/Special:FilePath/LTG Leslie R. Groves (cropped).jpg,United States Army Corps of Engineers officer (1896–1970),"['military engineer', 'army officer']",[],38.87916666666667,-77.07222222
Thorstein Veblen,162385,2.1557517393680275e-06,https://en.wikipedia.org/wiki/Thorstein_Veblen,1857,1929,https://commons.wikimedia.org/wiki/Special:FilePath/Veblen3a.jpg,American economist and sociologist,"['economist', 'sociologist', 'writer', 'professor']",['economics'],37.45416667,-122.1786111
Susan Sontag,295860,2.155517464549e-06,https://en.wikipedia.org/wiki/Susan_Sontag,1933,2004,https://commons.wikimedia.org/wiki/Special:FilePath/Susan Sontag 1979 ©Lynn Gilbert (headshot).jpg,"American writer and filmmaker, professor, and activist (1933–2004)","['writer', 'film director', 'screenwriter', 'professor', 'essayist', 'novelist', 'philosopher', 'literary critic', 'journalist', ""women's rights activist"", 'film critic', 'theatrical director', 'human rights activist', 'historian', 'opinion journalist']","['English literature', 'history', 'philosophy']",48.83778,2.32833
Antonio Banderas,52627,2.1548940122554293e-06,https://en.wikipedia.org/wiki/Antonio_Banderas,1960,,https://commons.wikimedia.org/wiki/Special:FilePath/Antonio Banderas 2020.jpg,Spanish actor,"['film producer', 'film actor', 'film director', 'actor', 'director']",[],36.71666667,-4.416666667
Samuel Eliot Morison,324385,2.1542991211354308e-06,https://en.wikipedia.org/wiki/Samuel_Eliot_Morison,1887,1976,https://commons.wikimedia.org/wiki/Special:FilePath/Rear Adm. Samuel Eliot Morison USNR.jpg,United States admiral and historian (1887-1976),"['military officer', 'military historian', 'historian', 'university teacher', 'professor', 'author', 'writer']",[],42.360277777777775,-71.05777778
Stéphane Mallarmé,28824,2.1542925513887903e-06,https://en.wikipedia.org/wiki/Stéphane_Mallarmé,1842,1898,https://commons.wikimedia.org/wiki/Special:FilePath/Mallarmé Nadar.jpg,French Symbolist poet (1842–1898),"['poet', 'translator', 'writer', 'literary critic', 'art critic', 'high school teacher', 'illustrator']",[],48.416579,2.752289
Edward VI,350338,2.1540268348990003e-06,https://en.wikipedia.org/wiki/Edward_VI,1537,1553,https://commons.wikimedia.org/wiki/Special:FilePath/Edward VI of England c. 1546.jpg,king of England (1547–1553),"['monarch', 'aristocrat', 'writer']",[],51.4994,-0.127367
Gustav Klimt,12425,2.153646957686109e-06,https://en.wikipedia.org/wiki/Gustav_Klimt,1862,1918,https://commons.wikimedia.org/wiki/Special:FilePath/Klimt.jpg,Austrian painter (1862–1918),"['painter', 'designer', 'graphic artist', 'drawer', 'architectural draftsperson']",['art of painting'],48.17803381570319,16.29937933469721
CeeLo Green,1579814,2.153561293996546e-06,https://en.wikipedia.org/wiki/CeeLo_Green,1975,,https://commons.wikimedia.org/wiki/Special:FilePath/CeeLo Green by Gage Skidmore.jpg,American singer and rapper,"['singer', 'singer-songwriter', 'actor', 'composer', 'record producer', 'film actor', 'voice actor', 'rapper', 'recording artist']",[],33.75694444,-84.39027778
