article_name,page_id,pagerank_score,wikipedia link,birth,death,image_url,description,occupation,field,latitude,longitude
Immanuel Kant,14631,2.24835795087028e-05,https://en.wikipedia.org/wiki/Immanuel_Kant,1724,1804,https://commons.wikimedia.org/wiki/Special:FilePath/Immanuel Kant - Gemaelde 2.jpg,German philosopher (1724–1804) of the Enlightenment,"['philosopher', 'anthropologist', 'physicist', 'librarian', 'writer', 'pedagogue', 'university teacher', 'mathematician', 'philosopher of law']","['epistemology', 'metaphysics', 'ethics']",54.70638888888889,20.511666666666667
Mao Zedong,19527,2.247566979230832e-05,https://en.wikipedia.org/wiki/Mao_Zedong,1893,1976,https://commons.wikimedia.org/wiki/Special:FilePath/Mao Zedong 1959 (cropped).jpg,1st Chairman of the Chinese Communist Party and founder of the People's Republic of China (1893–1976),"['politician', 'poet', 'writer', 'philosopher', 'teacher', 'librarian', 'strategist', 'political theorist', 'revolutionary', 'calligrapher']","['teaching', 'politics']",39.901025,116.3915806
Strabo,52121,2.221374118433051e-05,https://en.wikipedia.org/wiki/Strabo,-66,24,https://commons.wikimedia.org/wiki/Special:FilePath/Strabo.jpg,"Greek geographer, philosopher and historian (64/63 BC–c.24 AD)","['geographer', 'historian', 'philosopher', 'writer']",['geography'],,
Constantine the Great,7236,2.180837498788685e-05,https://en.wikipedia.org/wiki/Constantine_the_Great,272,337,https://commons.wikimedia.org/wiki/Special:FilePath/Rome-Capitole-StatueConstantin.jpg,Roman emperor from 306 to 337 and first to convert to Christianity,"['politician', 'military personnel', 'sovereign']",[],41.01972222,28.94972222
Christopher Columbus,5635,2.152079979477654e-05,https://en.wikipedia.org/wiki/Christopher_Columbus,1450,1506,"https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of a Man, Said to be Christopher Columbus.jpg","Italian navigator, explorer, and colonist (1451–1506)","['explorer', 'sailor', 'seafarer', 'traveler', 'inventor']","['sea shipping', 'marine transportation', 'seamanship']",37.38574216,-5.993095562
Napoleon III,62581,2.1449327098258223e-05,https://en.wikipedia.org/wiki/Napoleon_III,1808,1873,https://commons.wikimedia.org/wiki/Special:FilePath/Franz Xaver Winterhalter Napoleon III.jpg,"President of the Second French Republic, Emperor of the Second French Empire and the last king in French history (1848–1870)","['politician', 'writer']",[],51.29717,-0.74954
Saint Peter,31665644,2.133099333784981e-05,https://en.wikipedia.org/wiki/Saint_Peter,-1,65,https://commons.wikimedia.org/wiki/Special:FilePath/Pope-peter pprubens.jpg,"1st Pope of the Roman Catholic Church, Patriarch of Antioch and Apostle of Jesus Christ","['presbyter', 'fisher', 'Catholic bishop']",[],41.902301,12.453293
Edward VII,46721,2.1294885780081428e-05,https://en.wikipedia.org/wiki/Edward_VII,1841,1910,https://commons.wikimedia.org/wiki/Special:FilePath/King-Edward-VII (cropped).jpg,"King of the United Kingdom and the British Dominions, and Emperor of India (1841–1910)","['aristocrat', 'art collector', 'monarch', 'politician']",[],51.48361111111111,-0.606944444
Johann Wolfgang von Goethe,19242322,2.1278924268163583e-05,https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe,1749,1832,https://commons.wikimedia.org/wiki/Special:FilePath/Goethe (Stieler 1828).jpg,"German writer, artist, natural scientist and politician (1749–1832)","['theatre manager', 'botanist', 'politician', 'painter', 'philosopher', 'theologian', 'jurist', 'art critic', 'music critic', 'librarian', 'poet', 'travel writer', 'physicist', 'literary', 'novelist', 'playwright', 'autobiographer', 'diplomat', 'statesperson', 'polymath', 'aphorist', 'diarist', 'mineralogist', 'zoologist', 'art theorist', 'lawyer', 'composer', 'librettist', 'writer', 'visual artist', 'art historian']","['anatomy', 'meteorology', 'geology', 'physics']",50.97258611,11.32564444
Mahatma Gandhi,19379,2.1257044580566516e-05,https://en.wikipedia.org/wiki/Mahatma_Gandhi,1869,1948,"https://commons.wikimedia.org/wiki/Special:FilePath/Mahatma-Gandhi, studio, 1931.jpg",Indian independence activist (1869–1948),"['politician', 'barrister', 'political writer', 'journalist', 'philosopher', 'autobiographer', 'essayist', 'newspaper editor', 'civil rights advocate', 'memoirist', 'humanitarian', 'peace activist', 'revolutionary', 'writer', 'jurist', 'freedom fighter']","['philosophy', 'jurisprudence', 'pacifism']",28.64055,77.249433
Philip II of Spain,54386,2.09778967566042e-05,https://en.wikipedia.org/wiki/Philip_II_of_Spain,1527,1598,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait of Philip II of Spain by Sofonisba Anguissola - 002b.jpg,"16th-century King of Spain, Portugal, Naples and Sicily; King consort of England, lived 1527-1598",['ruler'],[],40.58890556,-4.14684444
Leonardo da Vinci,18079,2.0692113141086023e-05,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,1452,1519,https://commons.wikimedia.org/wiki/Special:FilePath/Francesco Melzi - Portrait of Leonardo.png,Italian Renaissance polymath (1452−1519),"['painter', 'engineer', 'astronomer', 'philosopher', 'anatomist', 'mathematician', 'sculptor', 'polymath', 'architect', 'civil engineer', 'diplomat', 'inventor', 'composer', 'physicist', 'physiologist', 'botanist', 'chemist', 'zoologist', 'caricaturist', 'scientist', 'architectural draftsperson', 'designer', 'writer', 'visual artist']","['Renaissance architecture', 'scenography', 'engineering', 'physiology', 'art of painting']",47.41305556,0.985833333
Plutarch,24517,2.062321865238708e-05,https://en.wikipedia.org/wiki/Plutarch,40,200,https://commons.wikimedia.org/wiki/Special:FilePath/Plutarch head only.jpg,Greek philosopher and historian (c. AD 46 – after AD 119),"['essayist', 'priest', 'magistrate', 'biographer', 'historian', 'writer', 'philosopher']","['philosophy', 'political science', 'history']",38.495182,22.8434315
Oliver Cromwell,22413,2.0546751982492632e-05,https://en.wikipedia.org/wiki/Oliver_Cromwell,1599,1658,https://commons.wikimedia.org/wiki/Special:FilePath/Oliver Cromwell by Samuel Cooper.jpg,English military and political leader (1599–1658),"['military leader', 'politician', 'farmer', 'army officer']",['agriculture'],51.4994,-0.127367
Richard Wagner,25452,1.996460608809327e-05,https://en.wikipedia.org/wiki/Richard_Wagner,1813,1883,https://commons.wikimedia.org/wiki/Special:FilePath/RichardWagner.jpg,German composer (1813–1883),"['composer', 'librettist', 'conductor', 'essayist', 'theatrical director', 'autobiographer', 'poet', 'pianist', 'music critic', 'diarist', 'writer']","['opera', 'Musikdrama']",49.9409451,11.58206165
Thomas Aquinas,21490957,1.989291404416666e-05,https://en.wikipedia.org/wiki/Thomas_Aquinas,1225,1274,https://commons.wikimedia.org/wiki/Special:FilePath/St-thomas-aquinas.jpg,"Italian Dominican friar, philosopher, Catholic priest, and Doctor of the Church","['theologian', 'professor', 'Latin Catholic priest', 'philosopher', 'writer', 'Catholic theologian', 'friar', 'theology teacher']","['philosophy', 'theology', 'Catholic theology']",43.603522,1.440413
Virgil,32359,1.987974970061951e-05,https://en.wikipedia.org/wiki/Virgil,-70,-19,https://commons.wikimedia.org/wiki/Special:FilePath/Parco della Grotta di Posillipo5 (crop).jpg,Roman poet (1st century BC),"['poet', 'writer']",[],40.830083,14.217721
Michael Jackson,14995351,1.9861563604145472e-05,https://en.wikipedia.org/wiki/Michael_Jackson,1958,2009,https://commons.wikimedia.org/wiki/Special:FilePath/Michael Jackson Dangerous World Tour 1993.jpg,"American singer, songwriter, and dancer (1958–2009)","['dancer', 'singer-songwriter', 'businessperson', 'philanthropist', 'film director', 'screenwriter', 'autobiographer', 'record producer', 'film actor', 'actor', 'entrepreneur', 'recording artist', 'singer', 'voice actor', 'art collector', 'songwriter', 'model', 'poet']","['music industry', 'performing arts', 'show business', 'music composing', 'film industry']",34.125499,-118.240807
Adam Smith,1814,1.948346632218752e-05,https://en.wikipedia.org/wiki/Adam_Smith,1723,1790,https://commons.wikimedia.org/wiki/Special:FilePath/AdamSmith.jpg,Scottish moral philosopher and political economist (1723-1790),"['economist', 'non-fiction writer', 'philosopher', 'writer', 'university teacher', 'French moralist', 'publisher']","['economics', 'ethics', 'political philosophy', 'economic theory', 'economic liberalism', 'philosophy', 'Age of Enlightenment']",55.9523,-3.17984
Justinian I,16209,1.9460947884897397e-05,https://en.wikipedia.org/wiki/Justinian_I,482,565,https://commons.wikimedia.org/wiki/Special:FilePath/Mosaic of Justinianus I - Basilica San Vitale (Ravenna).jpg,Eastern Roman Emperor who ruled from 527 to 565 (482-565),"['legislator', 'politician', 'emperor', 'writer']",[],41.01972222,28.94972222
Gerald Ford,5030380,1.9275823103164407e-05,https://en.wikipedia.org/wiki/Gerald_Ford,1913,2006,https://commons.wikimedia.org/wiki/Special:FilePath/Gerald Ford presidential portrait (cropped).jpg,president of the United States from 1974 to 1977,"['politician', 'military officer', 'lawyer', 'gridiron football player', 'autobiographer', 'American football player', 'statesperson']",['gun control'],42.968333333333334,-85.6775
George VI,46755,1.923131158508575e-05,https://en.wikipedia.org/wiki/George_VI,1895,1952,https://commons.wikimedia.org/wiki/Special:FilePath/King George VI LOC matpc.14736 A (cropped).jpg,"King of the United Kingdom from 1936 to 1952, Emperor of India from 1936 to 1948 (1895–1952)","['monarch', 'aristocrat', 'military officer', 'tennis player']",[],51.48361111111111,-0.606944444
Ulysses S. Grant,31752,1.914950855955981e-05,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1822,1885,https://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg,president of the United States from 1869 to 1877,"['explorer', 'military officer', 'writer', 'politician', 'statesperson', 'army officer']",[],40.81344167,-73.96301111
Peter the Great,44356,1.909031915562846e-05,https://en.wikipedia.org/wiki/Peter_the_Great,1672,1725,"https://commons.wikimedia.org/wiki/Special:FilePath/Inconnu d'après J.-M. Nattier, Portrait de Pierre Ier (musée de l’Ermitage).jpg",The last Tsar and the first Emperor of Russia (1682–1725),"['ruler', 'statesperson']",['politics of Russia'],59.95027778,30.31666667
Roger Ebert,50908,1.908515178580781e-05,https://en.wikipedia.org/wiki/Roger_Ebert,1942,2013,https://commons.wikimedia.org/wiki/Special:FilePath/Roger Ebert cropped.jpg,American film critic and author (1942–2013),"['screenwriter', 'film critic', 'journalist', 'reporter', 'writer', 'presenter', 'television presenter']",['film criticism'],41.95482,-87.661907
Martin Luther King Jr.,20076,1.8902248932391545e-05,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.,1929,1968,"https://commons.wikimedia.org/wiki/Special:FilePath/Martin Luther King, Jr..jpg",American Baptist minister and civil rights leader (1929–1968),"['pastor', 'preacher', 'civil rights advocate', 'human rights activist', 'peace activist', 'pacifist', 'writer', 'politician']","['political activity', 'civil rights', 'racism', 'racial segregation', 'peace movement', 'politics', 'opinion journalism', 'Baptist church', 'homiletics', 'pastoral care']",33.755799,-84.373537
James Cook,15630,1.8838235587616745e-05,https://en.wikipedia.org/wiki/James_Cook,1728,1779,https://commons.wikimedia.org/wiki/Special:FilePath/Captainjamescookportrait.jpg,"British explorer, cartographer and naval officer (1728–1779)","['explorer', 'cartographer', 'naval officer', 'seafarer', 'botanist']","['exploration', 'cartography']",19.47509,-155.92857
James II of England,5243711,1.867269797741737e-05,https://en.wikipedia.org/wiki/James_II_of_England,1633,1701,"https://commons.wikimedia.org/wiki/Special:FilePath/King James II by Sir Godfrey Kneller, Bt.jpg","King of England, Scotland, and Ireland (1633–1701)","['politician', 'slave trader', 'sovereign', 'monarch']",[],51.4838,-0.60483
Mahmoud Ahmadinejad,7907317,1.8403742886034786e-05,https://en.wikipedia.org/wiki/Mahmoud_Ahmadinejad,1956,,https://commons.wikimedia.org/wiki/Special:FilePath/Mahmoud Ahmadinejad 2010.jpg,6th President of Iran from 2005 to 2013,"['university teacher', 'politician', 'engineer']",[],35.24972222,52.49333333
René Descartes,25525,1.8329929135857076e-05,https://en.wikipedia.org/wiki/René_Descartes,1596,1650,https://commons.wikimedia.org/wiki/Special:FilePath/Frans Hals - Portret van René Descartes.jpg,"French philosopher, mathematician, and scientist","['philosopher', 'mathematician', 'musicologist', 'physicist', 'astronomer', 'music theorist', 'correspondent', 'mechanical automaton engineer', 'military personnel', 'writer']","['philosophy', 'metaphysics', 'epistemology', 'mathematics', 'mechanics', 'Cartesianism', 'rationalism', 'physics', 'optics', 'music theory', 'sound']",48.853889,2.334444
Dante Alighieri,8169,1.8168868866583417e-05,https://en.wikipedia.org/wiki/Dante_Alighieri,1265,1321,https://commons.wikimedia.org/wiki/Special:FilePath/Portrait de Dante.jpg,"Florentine poet, writer, and philosopher (c. 1265–1321)","['poet', 'writer', 'prose writer', 'politician', 'philosopher', 'political theorist', 'intellectual', 'linguist']","['poetry', 'literature', 'linguistics', 'political philosophy']",44.416151,12.200934
William III of England,47387,1.8155658608138077e-05,https://en.wikipedia.org/wiki/William_III_of_England,1650,1712,"https://commons.wikimedia.org/wiki/Special:FilePath/G. Kneller - Willem III (1650-1702), prins van Oranje, koning van Engeland - C252 - Cultural Heritage Agency of the Netherlands Art Collection.jpg","King of England, Scotland, and Ireland from 1689 to 1702","['politician', 'monarch']","['governance', 'politics', 'military art']",51.4994,-0.127367
Francisco Franco,11466,1.8063888497007477e-05,https://en.wikipedia.org/wiki/Francisco_Franco,1892,1975,https://commons.wikimedia.org/wiki/Special:FilePath/RETRATO DEL GRAL. FRANCISCO FRANCO BAHAMONDE (adjusted levels).jpg,Spanish general and dictator (1892-1975),"['military officer', 'spanish legionary', 'military personnel', 'politician', 'ruler', 'screenwriter']",[],40.53668821747638,-3.785912396
Charles de Gaulle,51255,1.8062669591254236e-05,https://en.wikipedia.org/wiki/Charles_de_Gaulle,1890,1970,https://commons.wikimedia.org/wiki/Special:FilePath/General Charles de Gaulle in 1945.jpg,President of France from 1959 to 1969,"['statesperson', 'memoirist', 'military theorist', 'military officer', 'politician']",['politics'],48.22195,4.88499
John Kerry,5122699,1.804320134481354e-05,https://en.wikipedia.org/wiki/John_Kerry,1943,,https://commons.wikimedia.org/wiki/Special:FilePath/John F. Kerry.jpg,Unites States Special Presidential Envoy for Climate since 2021,"['politician', 'naval officer', 'lawyer', 'diplomat', 'aircraft pilot', 'peace activist', 'climate activist']",[],39.71083333,-104.8125
Bertrand Russell,4163,1.794835655362639e-05,https://en.wikipedia.org/wiki/Bertrand_Russell,1872,1970,https://commons.wikimedia.org/wiki/Special:FilePath/Bertrand Russell transparent bg.png,British philosopher and logician (1872–1970),"['mathematician', 'social critic', 'essayist', 'logician', 'epistemologist', 'philosopher of language', 'political activist', 'metaphysician', 'analytic philosopher', 'autobiographer', 'university teacher', 'science fiction writer', 'philosopher of science', 'politician', 'peace activist', 'journalist', 'philosopher', 'writer']","['set theory', 'history of philosophy', 'epistemology', 'logic', 'mathematics', 'philosophy of language', 'philosophy of science', 'ethics', 'religion', 'mathematical logic', 'sociology', 'philosophy']",52.9202,-4.0979
Pablo Picasso,24176,1.791434050292297e-05,https://en.wikipedia.org/wiki/Pablo_Picasso,1881,1973,https://commons.wikimedia.org/wiki/Special:FilePath/Pablo picasso 1.jpg,Spanish painter and sculptor (1881–1973),"['painter', 'sculptor', 'graphic designer', 'printmaker', 'choreographer', 'ceramicist', 'poster artist', 'illustrator', 'photographer', 'costume designer', 'designer', 'jewelry designer', 'graphic artist', 'architectural draftsperson', 'muralist', 'assemblage artist', 'collagist', 'scenographer', 'drawer', 'screenwriter', 'visual artist']","['art of painting', 'jewelry', 'jewelry design']",43.55388889,5.603888889
